,target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
50,ancestor,['noun'],492,0,492,493.0,False,False,False,0,obscure,rel
51,foe,['noun'],259,0,259,260.0,False,False,False,1,monomorphemic,rel
52,daughter,['noun'],2305,0,2305,2306.0,False,False,False,0,may_include_a_root,rel
53,sister,['noun'],2039,0,2039,2040.0,False,False,False,0,may_include_a_root,rel
54,brother,['noun'],2478,0,2478,2479.0,False,False,False,0,may_include_a_root,rel
55,father,['noun'],5386,17,5403,299.2777778,False,True,False,0,may_include_a_root,rel
56,mother,['noun'],8506,50,8556,166.8039216,False,True,False,0,may_include_a_root,rel
57,son,['noun'],3689,0,3689,3690.0,False,False,False,1,monomorphemic,rel
58,uncle,['noun'],1188,0,1188,1189.0,False,False,False,1,monomorphemic,rel
59,aunt,['noun'],608,0,608,609.0,False,False,False,1,monomorphemic,rel
60,boss,['noun'],481,46,527,10.25531915,False,True,True,1,monomorphemic,rel
61,colleague,['noun'],913,0,913,914.0,False,False,False,0,may_include_a_root,rel
62,cousin,['noun'],575,0,575,576.0,False,False,False,1,monomorphemic,rel
63,niece,['noun'],95,0,95,96.0,False,False,False,1,monomorphemic,rel
64,widow,['noun'],367,0,367,368.0,False,False,False,1,monomorphemic,rel
65,nephew,['noun'],161,0,161,162.0,False,False,False,1,monomorphemic,rel
66,friend,['noun'],6386,0,6386,6387.0,False,False,False,1,monomorphemic,rel
67,parent,['noun'],5679,0,5679,5680.0,False,False,False,1,monomorphemic,rel
68,address,['noun'],876,631,1507,1.387658228,False,True,False,1,zero_derivation,rel
69,client,['noun'],455,0,455,456.0,False,False,False,1,monomorphemic,rel
70,enemy,['noun'],1443,0,1443,1444.0,False,False,False,0,may_include_a_root,rel
71,height,['noun'],835,0,835,836.0,False,False,False,1,monomorphemic,rel
72,age,['noun'],5206,151,5357,34.25657895,False,True,True,1,monomorphemic,rel
73,husband,['noun'],2762,14,2776,184.2,False,True,False,1,monomorphemic,rel
74,wife,['noun'],4442,0,4442,4443.0,False,False,False,1,monomorphemic,rel
75,location,['noun'],412,0,412,413.0,False,False,False,1,complex,rel
76,partner,['noun'],733,19,752,36.7,False,True,False,0,may_include_a_root,rel
77,sibling,['noun'],38,0,38,39.0,False,False,False,1,complex,rel
78,spouse,['noun'],72,0,72,73.0,False,False,False,1,monomorphemic,rel
79,speed,['noun'],1438,298,1736,4.81270903,False,False,True,1,zero_derivation,rel
80,weight,['noun'],1803,43,1846,41.0,False,True,False,1,monomorphemic,rel
81,student,['noun'],5453,0,5453,5454.0,False,False,False,1,complex,rel
82,value,['noun'],3097,190,3287,16.21989529,False,True,False,1,monomorphemic,rel
83,distance,['noun'],1841,15,1856,115.125,False,True,False,1,complex,rel
84,price,['noun'],2875,102,2977,27.9223301,False,True,False,1,monomorphemic,rel
85,audience,['noun'],1355,0,1355,1356.0,False,False,False,0,obscure,rel
86,veteran,['noun'],140,0,211,141.0,False,False,False,0,may_include_a_root,rel
87,thief,['noun'],213,0,213,214.0,False,False,False,1,monomorphemic,rel
88,passenger,['noun'],730,0,730,731.0,False,False,False,0,may_include_a_root,rel
89,interior,['noun'],355,0,507,356.0,False,False,False,1,zero_derivation,rel
90,customer,['noun'],690,0,690,691.0,False,False,False,0,obscure,rel
91,opponent,['noun'],612,0,612,613.0,False,False,False,1,complex,rel
92,victim,['noun'],972,0,972,973.0,False,False,False,1,monomorphemic,rel
93,border,['noun'],785,100,885,7.782178218,False,True,False,0,may_include_a_root,rel
94,predator,['noun'],129,0,129,130.0,False,False,False,0,obscure,rel
95,assassin,['noun'],95,0,95,96.0,False,False,False,1,monomorphemic,rel
96,citizen,['noun'],867,0,867,868.0,False,False,False,1,monomorphemic,rel
97,president,['noun'],2469,0,2469,2470.0,False,False,False,1,complex,rel
98,heir,['noun'],174,0,174,175.0,False,False,False,1,monomorphemic,rel
99,candidate,['noun'],980,0,980,981.0,False,False,False,0,may_include_a_root,rel
