,target,rel_type
0,story,0
1,animal,0
2,town,0
3,problem,0
4,river,0
5,island,0
6,palace,0
7,lady,0
8,woman,0
9,valley,0
10,creature,0
11,moon,0
12,girl,0
13,man,0
14,insect,0
15,jacket,0
16,cottage,0
17,kitty,0
18,hero,0
19,factory,0
20,monument,0
21,goat,0
22,weapon,0
23,hotel,0
24,district,0
25,boy,0
26,universe,0
27,restaurant,0
28,mountain,0
29,cat,0
30,street,0
31,magazine,0
32,window,0
33,tent,0
34,witch,0
35,infant,0
36,camera,0
37,target,0
38,device,0
39,angel,0
40,kitchen,0
41,biscuit,0
42,planet,0
43,engine,0
44,vehicle,0
45,peasant,0
46,secretary,0
47,chamber,0
48,library,0
49,world,0
50,ancestor,1
51,foe,1
52,daughter,1
53,sister,1
54,brother,1
55,father,1
56,mother,1
57,son,1
58,uncle,1
59,aunt,1
60,boss,1
61,colleague,1
62,cousin,1
63,niece,1
64,widow,1
65,nephew,1
66,friend,1
67,parent,1
68,address,1
69,client,1
70,enemy,1
71,height,1
72,age,1
73,husband,1
74,wife,1
75,location,1
76,partner,1
77,sibling,1
78,spouse,1
79,speed,1
80,weight,1
81,student,1
82,value,1
83,distance,1
84,price,1
85,audience,1
86,veteran,1
87,thief,1
88,passenger,1
89,interior,1
90,customer,1
91,opponent,1
92,victim,1
93,border,1
94,predator,1
95,assassin,1
96,citizen,1
97,president,1
98,heir,1
99,candidate,1
150,expire,0
151,subside,0
152,recede,0
153,die,0
154,vanish,0
155,flinch,0
156,erupt,0
157,coalesce,0
158,appear,0
159,relent,0
160,elapse,0
161,occur,0
162,arrive,0
163,fizzle,0
164,desist,0
165,depart,0
166,arise,0
167,waver,0
168,cringe,0
169,hover,0
170,skulk,0
171,hibernate,0
172,fester,0
173,hike,0
174,meander,0
175,soar,0
176,writhe,0
177,perspire,0
178,dally,0
179,gloat,0
180,languish,0
181,teethe,0
182,sizzle,0
183,loiter,0
184,glisten,0
185,dwindle,0
186,stagnate,0
187,cower,0
188,drool,0
189,dawdle,0
190,exist,0
191,kneel,0
192,thrive,0
193,prosper,0
194,toddle,0
195,shrivel,0
196,wither,0
197,weep,0
198,exhale,0
199,explode,0
200,amuse,1
201,flog,1
202,inspect,1
203,enhance,1
204,impede,1
205,embarrass,1
206,avoid,1
207,molest,1
208,persecute,1
209,confuse,1
210,excite,1
211,repel,1
212,secrete,1
213,admire,1
214,fondle,1
215,observe,1
216,evade,1
217,restrain,1
218,appease,1
219,amaze,1
220,discuss,1
221,edit,1
222,pamper,1
223,ignore,1
224,arrange,1
225,resist,1
226,describe,1
227,seize,1
228,drench,1
229,adopt,1
230,condemn,1
231,abolish,1
232,electrocute,1
233,suspend,1
234,solve,1
235,erase,1
236,impale,1
237,administer,1
238,arouse,1
239,apprehend,1
240,achieve,1
241,demolish,1
242,invent,1
243,startle,1
244,delete,1
245,bury,1
246,evict,1
247,lynch,1
248,greet,1
249,crave,1
250,grab,1
251,hoist,1
252,hoard,1
253,varnish,1
254,pawn,1
255,veto,1
256,cloister,1
257,blockade,1
258,harpoon,1
259,taunt,1
260,regret,1
261,lack,1
262,neglect,1
263,thatch,1
264,torture,1
265,alarm,1
266,arrest,1
267,wreck,1
268,taste,1
269,comfort,1
270,assault,1
271,ban,1
272,grasp,1
273,exile,1
274,poison,1
275,relish,1
276,desire,1
277,tattoo,1
278,ridicule,1
279,ambush,1
280,guard,1
281,herd,1
282,grease,1
283,whip,1
284,rescue,1
285,harm,1
286,manufacture,1
287,brand,1
288,patrol,1
289,treasure,1
290,stump,1
291,shred,1
292,worship,1
293,swab,1
294,harvest,1
295,bandage,1
296,murder,1
297,witness,1
298,rape,1
299,mash,1
300,muse,0
301,cackle,0
302,glow,0
303,bubble,0
304,romp,0
305,squeak,0
306,sigh,0
307,laugh,0
308,blossom,0
309,grimace,0
310,pulse,0
311,lounge,0
312,whine,0
313,bulge,0
314,slope,0
315,yawn,0
316,ski,0
317,bloom,0
318,glint,0
319,boom,0
320,frown,0
321,smile,0
322,grin,0
323,ache,0
324,swoon,0
325,struggle,0
326,slump,0
327,smirk,0
328,flow,0
329,flake,0
330,sprint,0
331,curtsy,0
332,fizz,0
333,reek,0
334,roost,0
335,flicker,0
336,gleam,0
337,fart,0
338,pee,0
339,hiccup,0
340,glimmer,0
341,glitter,0
342,snicker,0
343,gurgle,0
344,snooze,0
345,ebb,0
346,doodle,0
347,slumber,0
348,sneeze,0
349,squeal,0
